time	V(quada)	V(quadb)
3.413858871415064e-07	-2.410442e+01	2.415546e+01
3.539813605253316e-07	-2.749527e+01	2.754100e+01
3.678498302203069e-07	-3.078879e+01	3.082652e+01
3.747474169078367e-07	-3.222422e+01	3.225725e+01
3.762648266249405e-07	-3.250308e+01	3.253497e+01
3.792996460591481e-07	-3.300850e+01	3.303801e+01
3.839903611315848e-07	-3.370803e+01	3.373372e+01
3.900600000000000e-07	-3.451618e+01	3.453677e+01
3.906669638868416e-07	-3.458284e+01	3.460289e+01
3.913070812865167e-07	-3.465259e+01	3.467209e+01
3.913517282350584e-07	-3.465740e+01	3.467685e+01
3.914410221321418e-07	-3.466690e+01	3.468628e+01
3.916196099263085e-07	-3.468577e+01	3.470499e+01
3.919767855146421e-07	-3.472292e+01	3.474183e+01
3.926911366913091e-07	-3.479484e+01	3.481311e+01
3.941198390446433e-07	-3.492912e+01	3.494614e+01
3.969772437513116e-07	-3.515903e+01	3.517348e+01
4.026920531646483e-07	-3.550777e+01	3.551700e+01
4.079200000000000e-07	-3.573404e+01	3.573845e+01
4.084427946835352e-07	-3.574381e+01	3.574772e+01
4.094883840506056e-07	-3.575905e+01	3.576199e+01
4.122273574682815e-07	-3.578017e+01	3.578056e+01
4.124773574682815e-07	-3.577982e+01	3.577997e+01
4.129773574682815e-07	-3.577850e+01	3.577819e+01
4.130628109066819e-07	-3.577817e+01	3.577778e+01
4.130841742662820e-07	-3.577807e+01	3.577766e+01
4.131269009854821e-07	-3.577786e+01	3.577741e+01
4.131771885877883e-07	-3.577761e+01	3.577711e+01
4.132270408971492e-07	-3.577734e+01	3.577679e+01
4.132861725747028e-07	-3.577701e+01	3.577641e+01
4.133247767987054e-07	-3.577678e+01	3.577615e+01
4.133588367764533e-07	-3.577658e+01	3.577591e+01
4.133928110504988e-07	-3.577637e+01	3.577567e+01
4.134469572812036e-07	-3.577601e+01	3.577526e+01
4.135232974914677e-07	-3.577549e+01	3.577467e+01
4.136112162202560e-07	-3.577485e+01	3.577395e+01
4.137177356668775e-07	-3.577402e+01	3.577302e+01
4.138420533933072e-07	-3.577298e+01	3.577186e+01
4.140057167561866e-07	-3.577147e+01	3.577020e+01
4.142113535033177e-07	-3.576937e+01	3.576790e+01
4.145089948943234e-07	-3.576589e+01	3.576415e+01
4.149396790576586e-07	-3.576011e+01	3.575797e+01
4.153539924440124e-07	-3.575374e+01	3.575121e+01
4.156861485122568e-07	-3.574797e+01	3.574513e+01
4.160333257789966e-07	-3.574144e+01	3.573827e+01
4.160535432674162e-07	-3.574104e+01	3.573785e+01
4.160939782442554e-07	-3.574021e+01	3.573699e+01
4.161542937482166e-07	-3.573897e+01	3.573569e+01
4.162096283056000e-07	-3.573781e+01	3.573447e+01
4.162838802476137e-07	-3.573623e+01	3.573283e+01
4.163577958510278e-07	-3.573462e+01	3.573115e+01
4.164596188759701e-07	-3.573237e+01	3.572880e+01
4.165346466229818e-07	-3.573067e+01	3.572704e+01
4.166037928834198e-07	-3.572909e+01	3.572538e+01
4.166705355433347e-07	-3.572753e+01	3.572376e+01
4.167563836970706e-07	-3.572549e+01	3.572164e+01
4.168529965426648e-07	-3.572313e+01	3.571920e+01
4.170462222338532e-07	-3.571823e+01	3.571411e+01
4.174326736162300e-07	-3.570767e+01	3.570318e+01
4.182055763809837e-07	-3.568354e+01	3.567831e+01
4.197513819104911e-07	-3.562630e+01	3.561958e+01
4.213484298603648e-07	-3.555336e+01	3.554507e+01
4.237550806302357e-07	-3.541693e+01	3.540625e+01
4.261401107888897e-07	-3.525388e+01	3.524077e+01
4.280059996390905e-07	-3.510319e+01	3.508812e+01
4.299286966202228e-07	-3.492523e+01	3.490811e+01
4.317264911098480e-07	-3.473513e+01	3.471603e+01
4.347743956607009e-07	-3.436452e+01	3.434195e+01
4.380750186904009e-07	-3.390124e+01	3.387477e+01
4.414264213356671e-07	-3.337410e+01	3.334354e+01
4.418177152915607e-07	-3.330720e+01	3.327615e+01
4.426003032033480e-07	-3.316506e+01	3.313301e+01
4.441654790269226e-07	-3.287211e+01	3.283804e+01
4.445567729828162e-07	-3.279627e+01	3.276168e+01
4.453393608946035e-07	-3.264045e+01	3.260483e+01
4.467088897402312e-07	-3.235656e+01	3.231911e+01
4.469045367181780e-07	-3.231499e+01	3.227728e+01
4.473080586101933e-07	-3.222819e+01	3.218993e+01
4.473814262269234e-07	-3.221225e+01	3.217390e+01
4.474792497158968e-07	-3.219092e+01	3.215243e+01
4.476748966938436e-07	-3.214812e+01	3.210937e+01
4.476810106619044e-07	-3.214679e+01	3.210802e+01
4.476932385980261e-07	-3.214410e+01	3.210532e+01
4.477176944702695e-07	-3.213872e+01	3.209990e+01
4.477666062147562e-07	-3.212794e+01	3.208906e+01
4.478644297037296e-07	-3.210636e+01	3.206734e+01
4.478731142974146e-07	-3.210444e+01	3.206541e+01
4.478904834847847e-07	-3.210059e+01	3.206154e+01
4.479252218595248e-07	-3.209290e+01	3.205380e+01
4.479532492736409e-07	-3.208669e+01	3.204755e+01
4.479566123890269e-07	-3.208595e+01	3.204680e+01
4.479633386197987e-07	-3.208445e+01	3.204530e+01
4.479767910813423e-07	-3.208147e+01	3.204230e+01
4.480024177670849e-07	-3.207578e+01	3.203657e+01
4.480281363969125e-07	-3.207006e+01	3.203082e+01
4.480622665367484e-07	-3.206246e+01	3.202317e+01
4.481091462318904e-07	-3.205202e+01	3.201266e+01
4.481632649674510e-07	-3.203994e+01	3.200051e+01
4.485814172726711e-07	-3.194564e+01	3.190564e+01
4.490524835288521e-07	-3.183824e+01	3.179759e+01
4.490672043493577e-07	-3.183486e+01	3.179419e+01
4.490966459903691e-07	-3.182807e+01	3.178736e+01
4.491555292723917e-07	-3.181447e+01	3.177368e+01
4.492732958364369e-07	-3.178722e+01	3.174626e+01
